# openTime,open,high,low,close,volume,closeTime,qouteAssetVolume,numberOfTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,ignore
1603731600000, 12845.31000000, 12928.37000000, 12765.00000000, 12875.03000000, 5533.99680800, 1603735199999, 71136927.28619587, 67841, 2616.07722600, 33627567.58792325, 0
1603735200000, 12875.03000000, 12977.60000000, 12855.00000000, 12963.25000000, 2865.24288700, 1603738799999, 37036038.31697448, 37021, 1442.54274200, 18643084.69220283, 0
1603738800000, 12963.24000000, 13008.17000000, 12920.70000000, 13004.50000000, 2206.79013600, 1603742399999, 28608703.56678501, 32108, 1132.25664600, 14682232.23874090, 0
1603742400000, 13004.49000000, 13055.60000000, 12987.00000000, 12996.08000000, 1840.60722000, 1603745999999, 23955566.50529301, 28556, 783.03776600, 10192353.67950278, 0
1603746000000, 12996.09000000, 13046.72000000, 12996.07000000, 13013.72000000, 1054.88828300, 1603749599999, 13743967.27724910, 24031, 493.20695500, 6425445.69930740, 0
1603749600000, 13013.72000000, 13043.21000000, 12983.26000000, 13043.21000000, 994.23521700, 1603753199999, 12941913.83898642, 17726, 457.95709800, 5961818.06090123, 0
1603753200000, 13043.21000000, 13086.42000000, 13033.50000000, 13052.19000000, 1595.91991100, 1603756799999, 20850135.51828758, 21318, 800.12871600, 10454096.41743558, 0
1603756800000, 13052.15000000, 13129.19000000, 13019.87000000, 13092.89000000, 2014.71430800, 1603760399999, 26371049.42386540, 26035, 1105.70638000, 14474314.79311120, 0
1603760400000, 13092.89000000, 13107.00000000, 13058.67000000, 13094.12000000, 1101.86303700, 1603763999999, 14411671.31431023, 16891, 432.82278400, 5660987.56264896, 0
1603764000000, 13094.12000000, 13125.44000000, 13054.37000000, 13071.89000000, 1354.58014700, 1603767599999, 17738827.93773557, 22577, 583.99806000, 7648032.79052612, 0
1603767600000, 13071.89000000, 13113.93000000, 13063.24000000, 13083.24000000, 1072.35786100, 1603771199999, 14033516.55544555, 18011, 551.91385600, 7221832.99143652, 0
1603771200000, 13083.24000000, 13125.00000000, 13083.24000000, 13124.60000000, 1100.81686200, 1603774799999, 14427544.65365991, 15977, 526.52643200, 6900141.52557137, 0
1603774800000, 13124.61000000, 13144.49000000, 13080.24000000, 13088.65000000, 1447.33648700, 1603778399999, 18969717.30878652, 19319, 586.53227200, 7688582.54993053, 0
1603778400000, 13088.66000000, 13106.09000000, 13061.01000000, 13106.09000000, 1555.64448300, 1603781999999, 20352011.10380545, 19284, 658.68697600, 8617089.48389188, 0
1603782000000, 13106.08000000, 13160.00000000, 13086.97000000, 13144.58000000, 2602.51501800, 1603785599999, 34166183.11770634, 26664, 1473.39759400, 19348596.32198882, 0
1603785600000, 13144.59000000, 13170.21000000, 13125.00000000, 13141.56000000, 2226.30927900, 1603789199999, 29270516.65810588, 33975, 1023.48489900, 13456344.25609851, 0
1603789200000, 13141.57000000, 13145.90000000, 13084.72000000, 13144.80000000, 2457.73998900, 1603792799999, 32234019.53570224, 31292, 1014.13720100, 13300572.44814436, 0
1603792800000, 13144.81000000, 13299.32000000, 13132.30000000, 13262.74000000, 4863.16542200, 1603796399999, 64333928.62763866, 54953, 2821.66828700, 37327065.74032192, 0
